index,title,desc,hot,url,image,source,type,ranking_id,surface,published_at,datetime
25,sudo and OpenDoas timestamp files (2020),"4 comments · security, unix",10,https://π.duncano.de/sudo-doas-timestamp-files,,Lobsters,Hottest,hottest,hotlist,2026-09-18T14:36:19.605-05:00,2026-09-20 00:21:30
1,Don’t Let Architecture Astronauts Scare You (2001),12 comments · programming,19,https://www.joelonsoftware.com/2001/04/21/dont-let-architecture-astronauts-scare-you/,,Lobsters,Hottest,hottest,hotlist,2026-09-19T07:08:52.631-05:00,2026-09-20 01:18:10
2,The scourge of x86 emulation,0 comments · hardware,46,https://fex-emu.com/Scourge-of-emulation/,,Lobsters,Hottest,hottest,hotlist,2026-09-19T00:01:05.094-05:00,2026-09-20 01:18:10
3,kicking the tires on jev (TypeSafe's System One model) with 2048,"2 comments · ai, games",8,https://gist.github.com/cablehead/bdf9ad946ceb26d9008976e49c9bfbbb,,Lobsters,Hottest,hottest,hotlist,2026-09-19T07:38:11.952-05:00,2026-09-20 01:18:10
4,Typst makes big strides,"18 comments · a11y, programming",109,https://lwn.net/Articles/1092993/,,Lobsters,Hottest,hottest,hotlist,2026-09-18T08:14:17.568-05:00,2026-09-20 01:18:10
5,"I Built Non-Autoregressive Decision Models a Year Ago. Then a Frontier Lab Called It a ""Breakthrough""",1 comments · ai,12,https://dev.to/nandakishor_m_6cc0adfde9f/i-built-non-autoregressive-decision-models-a-year-ago-then-a-frontier-lab-called-it-a-18me,,Lobsters,Hottest,hottest,hotlist,2026-09-19T08:41:57.630-05:00,2026-09-20 01:18:10
6,GPT-6 Astra Solves a WWI German Radio Cipher,"8 comments · cryptography, vibecoding",11,https://www.prinzai.com/p/gpt-6-astra-solves-a-wwi-german-radio,,Lobsters,Hottest,hottest,hotlist,2026-09-19T03:44:38.517-05:00,2026-09-20 01:18:10
7,“The Secret Life of Circuits” is here,2 comments · hardware,12,https://blog.coredump.cx/p/the-secret-life-of-circuits-is-here,,Lobsters,Hottest,hottest,hotlist,2026-09-19T07:12:18.763-05:00,2026-09-20 01:18:10
8,Write while learning,3 comments · practices,16,https://purplesyringa.moe/blog/write-while-learning/,,Lobsters,Hottest,hottest,hotlist,2026-09-19T01:56:24.938-05:00,2026-09-20 01:18:10
9,I don't like passkeys,43 comments · security,67,https://hawksley.dev/blog/i-dont-like-passkeys,,Lobsters,Hottest,hottest,hotlist,2026-09-18T07:52:18.949-05:00,2026-09-20 01:18:10
10,AI Is an Elite Crime Spree,1 comments · law,7,https://www.thebignewsletter.com/p/ai-is-an-elite-crime-spree,,Lobsters,Hottest,hottest,hotlist,2026-09-19T10:44:52.572-05:00,2026-09-20 01:18:10
11,There's no point at which turning your brain off will work,12 comments · vibecoding,41,https://danluu.com/brain-off/,,Lobsters,Hottest,hottest,hotlist,2026-09-18T12:15:40.357-05:00,2026-09-20 01:18:10
12,Reviving the language that brought us the Jak & Daxter Series,"1 comments · games, lisp",8,https://opengoal.dev/,,Lobsters,Hottest,hottest,hotlist,2026-09-19T09:28:49.182-05:00,2026-09-20 01:18:10
13,What happens to TLDs when their country stops existing? (2022),2 comments · web,7,https://astrid.tech/2022/04/05/0/dead-tlds/,,Lobsters,Hottest,hottest,hotlist,2026-09-19T06:53:28.060-05:00,2026-09-20 01:18:10
14,Saving another 100TB of RAM with math (and Rust),"0 comments · performance, rust",27,https://blog.cloudflare.com/saving-100-tb-of-ram-with-math/,,Lobsters,Hottest,hottest,hotlist,2026-09-18T19:28:07.954-05:00,2026-09-20 01:18:10
15,LispBM: Concurrent Lisp for Microcontrollers,"0 comments · hardware, lisp",8,https://www.lispbm.com/,,Lobsters,Hottest,hottest,hotlist,2026-09-19T06:36:56.503-05:00,2026-09-20 01:18:10
16,Faster JSON parsing with SVE2 on ARM processors,"1 comments · assembly, performance",4,https://lemire.me/blog/2026/09/18/faster-json-parsing-with-sve2-on-arm-processors/,,Lobsters,Hottest,hottest,hotlist,2026-09-19T10:10:09.421-05:00,2026-09-20 01:18:10
17,Benchmarking Wild vs Mold,"5 comments · compilers, performance",51,https://davidlattimore.github.io/posts/2026/09/18/benchmarking-wild-vs-mold.html,,Lobsters,Hottest,hottest,hotlist,2026-09-18T10:25:08.333-05:00,2026-09-20 01:18:10
18,Consistent Hashing Proofs,"0 comments · compsci, math",4,https://ch.terabyteoff.com/,,Lobsters,Hottest,hottest,hotlist,2026-09-19T09:24:51.480-05:00,2026-09-20 01:18:10
19,Secure VMs for Kubernetes: Hardening Kata containers,"0 comments · devops, security, vibecoding, virtualization",1,https://srcreigh.ca/posts/auditable-kata/,,Lobsters,Hottest,hottest,hotlist,2026-09-19T12:11:45.363-05:00,2026-09-20 01:18:10
20,CSS-Tricks could be a co-op,"2 comments · css, culture",39,https://ericwbailey.website/published/css-tricks-could-be-a-co-op/,,Lobsters,Hottest,hottest,hotlist,2026-09-18T17:11:51.364-05:00,2026-09-20 01:18:10
21,OpenLoco version 26.09,"0 comments · c++, games, release",10,https://openloco.io/news/2026/09/openloco-v26.09.html,,Lobsters,Hottest,hottest,hotlist,2026-09-18T23:22:19.845-05:00,2026-09-20 01:18:10
22,What is still exciting in tech?,"203 comments · ask, culture",153,https://lobste.rs/s/lcjf7c,,Lobsters,Hottest,hottest,hotlist,2026-09-18T03:14:52.256-05:00,2026-09-20 01:18:10
23,"FAQ: Why isn’t mutable a subtype of immutable, or vice versa?",4 comments · plt,19,https://crumbles.blog/posts/2026-09-17-immutable-mutable.html,,Lobsters,Hottest,hottest,hotlist,2026-09-18T10:30:01.511-05:00,2026-09-20 01:18:10
24,"Vale, code-like linting for prose","6 comments · practices, vibecoding",9,https://vale.sh,,Lobsters,Hottest,hottest,hotlist,2026-09-18T15:38:52.432-05:00,2026-09-20 01:18:10
25,The paradox at the heart of AI and science | Terence Tao,"0 comments · ai, science, video",1,https://www.youtube.com/watch?v=svl_1upFpQo,,Lobsters,Hottest,hottest,hotlist,2026-09-19T11:53:14.266-05:00,2026-09-20 01:18:10
1,Don’t Let Architecture Astronauts Scare You (2001),12 comments · programming,23,https://www.joelonsoftware.com/2001/04/21/dont-let-architecture-astronauts-scare-you/,,Lobsters,Hottest,hottest,hotlist,2026-09-19T07:08:52.631-05:00,2026-09-20 02:23:28
2,"I Built Non-Autoregressive Decision Models a Year Ago. Then a Frontier Lab Called It a ""Breakthrough""",1 comments · ai,20,https://dev.to/nandakishor_m_6cc0adfde9f/i-built-non-autoregressive-decision-models-a-year-ago-then-a-frontier-lab-called-it-a-18me,,Lobsters,Hottest,hottest,hotlist,2026-09-19T08:41:57.630-05:00,2026-09-20 02:23:28
3,kicking the tires on jev (TypeSafe's System One model) with 2048,"2 comments · ai, games",9,https://gist.github.com/cablehead/bdf9ad946ceb26d9008976e49c9bfbbb,,Lobsters,Hottest,hottest,hotlist,2026-09-19T07:38:11.952-05:00,2026-09-20 02:23:28
4,The scourge of x86 emulation,0 comments · hardware,49,https://fex-emu.com/Scourge-of-emulation/,,Lobsters,Hottest,hottest,hotlist,2026-09-19T00:01:05.094-05:00,2026-09-20 02:23:28
5,AI Is an Elite Crime Spree,3 comments · law,10,https://www.thebignewsletter.com/p/ai-is-an-elite-crime-spree,,Lobsters,Hottest,hottest,hotlist,2026-09-19T10:44:52.572-05:00,2026-09-20 02:23:28
