index,title,desc,author,language,stars,forks,today_forks,url,type,datetime
1,helm,The Kubernetes Package Manager,technosophos,Go,"28,769","7,372",26 stars today,https://github.com//helm/helm,GitHub_Go_daily,2025-10-31 02:42:23
2,storybook,"Storybook is the industry standard workshop for building, documenting, and testing UI components in isolation",shilman,TypeScript,"88,323","9,743",17 stars today,https://github.com//storybookjs/storybook,GitHub_TypeScript_daily,2025-10-31 02:42:23
3,opentelemetry-collector,OpenTelemetry Collector,bogdandrutu,Go,"6,051","1,760",109 stars today,https://github.com//open-telemetry/opentelemetry-collector,GitHub_Go_daily,2025-10-31 02:42:23
4,social-analyzer,"API, CLI, and Web App for analyzing and finding a person's profile in 1000 social media \ websites",giga-a,JavaScript,"16,215","1,326",658 stars today,https://github.com//qeeqbox/social-analyzer,GitHub_JavaScript_daily,2025-10-31 02:42:23
5,ai-engineering-hub,"In-depth tutorials on LLMs, RAGs and real-world AI agent applications.",patchy631,Jupyter Notebook,"19,775","3,317",351 stars today,https://github.com//patchy631/ai-engineering-hub,GitHub_Jupyter Notebook_daily,2025-10-31 02:42:23
6,cpp-httplib,A C++ header-only HTTP/HTTPS server and client library,yhirose,C++,"15,248","2,530",73 stars today,https://github.com//yhirose/cpp-httplib,GitHub_C++_daily,2025-10-31 02:42:23
7,olmocr,Toolkit for linearizing PDFs for LLM datasets/training,jakep-allenai,Python,"15,338","1,171",382 stars today,https://github.com//allenai/olmocr,GitHub_Python_daily,2025-10-31 02:42:23
8,MONAI,AI Toolkit for Healthcare Imaging,wyli,Python,"7,089","1,302",33 stars today,https://github.com//Project-MONAI/MONAI,GitHub_Python_daily,2025-10-31 02:42:23
9,jan,Jan is an open source alternative to ChatGPT that runs 100% offline on your computer.,louis-menlo,TypeScript,"38,503","2,328",28 stars today,https://github.com//janhq/jan,GitHub_TypeScript_daily,2025-10-31 02:42:23
10,mem0,Universal memory layer for AI Agents; Announcing OpenMemory MCP - local and secure memory management.,Dev-Khant,Python,"42,206","4,540",111 stars today,https://github.com//mem0ai/mem0,GitHub_Python_daily,2025-10-31 02:42:23
11,aws-devops-zero-to-hero,"AWS zero to hero repo for devops engineers to learn AWS in 30 Days. This repo includes projects, presentations, interview questions and real time examples.",iam-veeramalla,Python,"9,343","13,222",78 stars today,https://github.com//iam-veeramalla/aws-devops-zero-to-hero,GitHub_Python_daily,2025-10-31 02:42:23
12,agent-lightning,The absolute trainer to light up AI agents.,ultmaster,Python,"4,270",297,521 stars today,https://github.com//microsoft/agent-lightning,GitHub_Python_daily,2025-10-31 02:42:23
13,WeKnora,"LLM-powered framework for deep document understanding, semantic retrieval, and context-aware answers using RAG paradigm.",lyingbug,Go,"6,854",786,87 stars today,https://github.com//Tencent/WeKnora,GitHub_Go_daily,2025-10-31 02:42:23
14,nuclei-templates,Community curated list of templates for the nuclei engine to find security vulnerabilities.,actions-user,JavaScript,"11,135","3,110",19 stars today,https://github.com//projectdiscovery/nuclei-templates,GitHub_JavaScript_daily,2025-10-31 02:42:23
15,Web-Dev-For-Beginners,"24 Lessons, 12 Weeks, Get Started as a Web Developer",jlooper,JavaScript,"93,070","14,447",450 stars today,https://github.com//microsoft/Web-Dev-For-Beginners,GitHub_JavaScript_daily,2025-10-31 02:42:23
16,nvm,Node Version Manager - POSIX-compliant bash script to manage multiple active node.js versions,ljharb,Shell,"88,650","9,491",24 stars today,https://github.com//nvm-sh/nvm,GitHub_Shell_daily,2025-10-31 02:42:23
1,ladybird,Truly independent web browser,awesomekling,C++,"54,702","2,420","4,794 stars this week",https://github.com//LadybirdBrowser/ladybird,GitHub_C++_weekly,2025-10-31 02:42:23
2,blind_watermark,Blind&Invisible Watermark ，图片盲水印，提取水印无须原图！,guofei9987,Python,"10,535","1,067","2,863 stars this week",https://github.com//guofei9987/blind_watermark,GitHub_Python_weekly,2025-10-31 02:42:23
3,cursor-free-vip,[Support 0.49.x]（Reset Cursor AI MachineID & Bypass Higher Token Limit） Cursor Ai ，自动重置机器ID ， 免费升级使用Pro功能: You've reached your trial request limit. / Too many free trial accounts used on this machine. Please upgrade to pro. We have this limit in place to prevent abuse. Please let us know if you believe this is a mistake.,yeongpin,Python,"39,534","4,806","2,995 stars this week",https://github.com//yeongpin/cursor-free-vip,GitHub_Python_weekly,2025-10-31 02:42:23
4,agent-lightning,The absolute trainer to light up AI agents.,ultmaster,Python,"4,270",297,"1,883 stars this week",https://github.com//microsoft/agent-lightning,GitHub_Python_weekly,2025-10-31 02:42:23
5,minio,"MinIO is a high-performance, S3 compatible object store, open sourced under GNU AGPLv3 license.",harshavardhana,Go,"57,609","6,400","1,841 stars this week",https://github.com//minio/minio,GitHub_Go_weekly,2025-10-31 02:42:23
6,moon-dev-ai-agents,autonomous ai agents for trading in python,moondevonyt,Python,"1,841",974,869 stars this week,https://github.com//moondevonyt/moon-dev-ai-agents,GitHub_Python_weekly,2025-10-31 02:42:23
7,x402,A payments protocol for the internet. Built on HTTP.,CarsonRoscoe,TypeScript,"3,485",578,"1,126 stars this week",https://github.com//coinbase/x402,GitHub_TypeScript_weekly,2025-10-31 02:42:23
8,chronos-forecasting,Chronos: Pretrained Models for Time Series Forecasting,abdulfatir,Python,"4,095",464,242 stars this week,https://github.com//amazon-science/chronos-forecasting,GitHub_Python_weekly,2025-10-31 02:42:23
9,yaak,"The most intuitive desktop API client. Organize and execute REST, GraphQL, WebSockets, Server Sent Events, and gRPC 🦬",gschier,TypeScript,"14,633",521,"3,244 stars this week",https://github.com//mountain-loop/yaak,GitHub_TypeScript_weekly,2025-10-31 02:42:23
10,AFFiNE,"There can be more than Notion and Miro. AFFiNE(pronounced [ə‘fain]) is a next-gen knowledge base that brings planning, sorting and creating all together. Privacy first, open-source, customizable and ready to use.",himself65,TypeScript,"58,700","3,991","2,207 stars this week",https://github.com//toeverything/AFFiNE,GitHub_TypeScript_weekly,2025-10-31 02:42:23
11,hoppscotch,"Open-Source API Development Ecosystem • https://hoppscotch.io • Offline, On-Prem & Cloud • Web, Desktop & CLI • Open-Source Alternative to Postman, Insomnia",liyasthomas,TypeScript,"76,604","5,376","1,418 stars this week",https://github.com//hoppscotch/hoppscotch,GitHub_TypeScript_weekly,2025-10-31 02:42:23
12,ebook2audiobook,"Generate audiobooks from e-books, voice cloning & 1107+ languages!",ROBERT-MCDOWELL,Python,"14,220","1,073",999 stars this week,https://github.com//DrewThomasson/ebook2audiobook,GitHub_Python_weekly,2025-10-31 02:42:23
13,olmocr,Toolkit for linearizing PDFs for LLM datasets/training,jakep-allenai,Python,"15,338","1,171",518 stars this week,https://github.com//allenai/olmocr,GitHub_Python_weekly,2025-10-31 02:42:23
14,slidev,Presentation Slides for Developers,antfu,TypeScript,"40,989","1,724",315 stars this week,https://github.com//slidevjs/slidev,GitHub_TypeScript_weekly,2025-10-31 02:42:23
15,SO-ARM100,Standard Open Arm 100,TheRobotStudio,,"4,181",346,824 stars this week,https://github.com//TheRobotStudio/SO-ARM100,GitHub__weekly,2025-10-31 02:42:23
16,Handy,"A free, open source, and extensible speech-to-text application that works completely offline.",cjpais,TypeScript,"4,824",299,"1,479 stars this week",https://github.com//cjpais/Handy,GitHub_TypeScript_weekly,2025-10-31 02:42:23
17,open-notebook,An Open Source implementation of Notebook LM with more flexibility and features,lfnovo,TypeScript,"9,032",886,"1,807 stars this week",https://github.com//lfnovo/open-notebook,GitHub_TypeScript_weekly,2025-10-31 02:42:23
18,WrenAI,"⚡️ GenBI (Generative BI) queries any database in natural language, generates accurate SQL (Text-to-SQL), charts (Text-to-Chart), and AI-powered business intelligence in seconds.",cyyeh,TypeScript,"12,620","1,314",291 stars this week,https://github.com//Canner/WrenAI,GitHub_TypeScript_weekly,2025-10-31 02:42:23
19,jj,A Git-compatible VCS that is both simple and powerful,yuja,Rust,"21,761",770,413 stars this week,https://github.com//jj-vcs/jj,GitHub_Rust_weekly,2025-10-31 02:42:23
20,seaweedfs,"SeaweedFS is a fast distributed storage system for blobs, objects, files, and data lake, for billions of files! Blob store has O(1) disk seek, cloud tiering. Filer supports Cloud Drive, xDC replication, Kubernetes, POSIX FUSE mount, S3 API, S3 Gateway, Hadoop, WebDAV, encryption, Erasure Coding. Enterprise version is at seaweedfs.com.",chrislusf,Go,"26,741","2,510",536 stars this week,https://github.com//seaweedfs/seaweedfs,GitHub_Go_weekly,2025-10-31 02:42:23
1,prompt-eng-interactive-tutorial,Anthropic's Interactive Prompt Engineering Tutorial,CloudsOfChange,Jupyter Notebook,"25,431","2,312","6,939 stars this month",https://github.com//anthropics/prompt-eng-interactive-tutorial,GitHub_Jupyter Notebook_monthly,2025-10-31 02:42:23
2,claude-cookbooks,A collection of notebooks/recipes showcasing some fun and effective ways of using Claude.,zealoushacker,Jupyter Notebook,"26,458","2,654","5,978 stars this month",https://github.com//anthropics/claude-cookbooks,GitHub_Jupyter Notebook_monthly,2025-10-31 02:42:23
3,Handy,"A free, open source, and extensible speech-to-text application that works completely offline.",cjpais,TypeScript,"4,824",299,"3,423 stars this month",https://github.com//cjpais/Handy,GitHub_TypeScript_monthly,2025-10-31 02:42:23
4,nanoGPT,"The simplest, fastest repository for training/finetuning medium-sized GPTs.",karpathy,Python,"48,515","8,116","3,736 stars this month",https://github.com//karpathy/nanoGPT,GitHub_Python_monthly,2025-10-31 02:42:23
5,ladybird,Truly independent web browser,awesomekling,C++,"54,702","2,420","5,843 stars this month",https://github.com//LadybirdBrowser/ladybird,GitHub_C++_monthly,2025-10-31 02:42:23
