index,title,hot,url,img_url,push_time,now_time,type,source
1,茅台价格大跌,11985505,https://www.douyin.com/search/%E8%8C%85%E5%8F%B0%E4%BB%B7%E6%A0%BC%E5%A4%A7%E8%B7%8C,https://p3-sign.douyinpic.com/tos-cn-p-0015/oIapBTWrED5FUQVAfg5QCY2N9vpqDAG7AfuQ4C~noop.jpeg?lk3s=bfd515bb&x-expires=1762293600&x-signature=XYbL5vgft4%2FAmHlj84%2BMkFQTtXI%3D&from=3218412987,2025-11-04 16:00:50,2025-11-05,热搜,抖音
2,台军两辆军用卡车相撞,11523600,https://www.douyin.com/search/%E5%8F%B0%E5%86%9B%E4%B8%A4%E8%BE%86%E5%86%9B%E7%94%A8%E5%8D%A1%E8%BD%A6%E7%9B%B8%E6%92%9E,https://p26-sign.douyinpic.com/tos-cn-p-0015/o85y7ujfGQQbgS12ACLFae7t0CegSqBQIoAMBE~noop.jpeg?lk3s=bfd515bb&x-expires=1762293600&x-signature=hAw%2FvgZP0iWmRHSMNEvpmuZU9f4%3D&from=3218412987,2025-11-04 11:50:51,2025-11-05,热搜,抖音
3,前三季度海洋生产总值7.9万亿元,11424393,https://www.douyin.com/search/%E5%89%8D%E4%B8%89%E5%AD%A3%E5%BA%A6%E6%B5%B7%E6%B4%8B%E7%94%9F%E4%BA%A7%E6%80%BB%E5%80%BC7.9%E4%B8%87%E4%BA%BF%E5%85%83,https://p9-sign.douyinpic.com/tos-cn-p-0015/ogABJYMgXfa5EpiH07egACEB8r6hAaM8ASVyeQ~noop.jpeg?lk3s=bfd515bb&x-expires=1762293600&x-signature=J%2F9HfawVgbNoZf6L4Au822RBGeg%3D&from=3218412987,2025-11-04 21:09:19,2025-11-05,热搜,抖音
4,史上最长春节假期,11413833,https://www.douyin.com/search/%E5%8F%B2%E4%B8%8A%E6%9C%80%E9%95%BF%E6%98%A5%E8%8A%82%E5%81%87%E6%9C%9F,https://p3-sign.douyinpic.com/tos-cn-p-0015/oIFJeNFM0INjArA3vBhiZQeiIuBAmoAWogvZqF~noop.jpeg?lk3s=bfd515bb&x-expires=1762293600&x-signature=rzj2SFAkSKlCp%2B69OX04Gc4vgiM%3D&from=3218412987,2025-11-04 17:04:37,2025-11-05,热搜,抖音
5,神二十乘组将于11月5日返回地球,10671889,https://www.douyin.com/search/%E7%A5%9E%E4%BA%8C%E5%8D%81%E4%B9%98%E7%BB%84%E5%B0%86%E4%BA%8E11%E6%9C%885%E6%97%A5%E8%BF%94%E5%9B%9E%E5%9C%B0%E7%90%83,https://p3-sign.douyinpic.com/tos-cn-p-0015/ocCBAWmAcseDND4IDYx9uifLA2AFCwEpgIUIIZ~noop.jpeg?lk3s=bfd515bb&x-expires=1762293600&x-signature=09vFLLQs%2BAq%2FyY3EXdedkFOSXWM%3D&from=3218412987,2025-11-04 11:16:46,2025-11-05,热搜,抖音
6,缅北白家案宣判 白所成等获死刑,10428108,https://www.douyin.com/search/%E7%BC%85%E5%8C%97%E7%99%BD%E5%AE%B6%E6%A1%88%E5%AE%A3%E5%88%A4%20%E7%99%BD%E6%89%80%E6%88%90%E7%AD%89%E8%8E%B7%E6%AD%BB%E5%88%91,https://p3-sign.douyinpic.com/tos-cn-p-0015/o0e1bFJAEQ4QgOCWXSfnkk7A9B5YpDNVASnhB8~noop.jpeg?lk3s=bfd515bb&x-expires=1762293600&x-signature=Tpe%2B1DrnpIUFPLWxaZvFCHCN2mw%3D&from=3218412987,2025-11-04 12:01:19,2025-11-05,热搜,抖音
7,JackeyLove致歉,9245498,https://www.douyin.com/search/JackeyLove%E8%87%B4%E6%AD%89,https://p26-sign.douyinpic.com/tos-cn-p-0015/o4zJ7SjxEo1IBxwzBAItf45enelAmLIGBAECP4~noop.jpeg?lk3s=bfd515bb&x-expires=1762293600&x-signature=taNzGYwi7UplZNOe1CE9m6yiXvc%3D&from=3218412987,2025-11-04 21:15:08,2025-11-05,热搜,抖音
8,湖人123:115战胜开拓者,9157922,https://www.douyin.com/search/%E6%B9%96%E4%BA%BA123%3A115%E6%88%98%E8%83%9C%E5%BC%80%E6%8B%93%E8%80%85,https://p3-sign.douyinpic.com/obj/webcast-cover/7568290400897911579?lk3s=bfd515bb&x-expires=1762293600&x-signature=bdyaMXZnEFNGPhIkixGiZKvw%2BOo%3D&from=3218412987,2025-11-04 10:11:16,2025-11-05,热搜,抖音
9,“传家锅”主理人感谢网友支持,9046340,https://www.douyin.com/search/%E2%80%9C%E4%BC%A0%E5%AE%B6%E9%94%85%E2%80%9D%E4%B8%BB%E7%90%86%E4%BA%BA%E6%84%9F%E8%B0%A2%E7%BD%91%E5%8F%8B%E6%94%AF%E6%8C%81,https://p11-sign.douyinpic.com/tos-cn-p-0015/ooaEZGJPVTIPAEAQH5iyk6iJ3nBYJ7nUIvaBQ~noop.jpeg?lk3s=bfd515bb&x-expires=1762293600&x-signature=1wPQ6yU0n9R0w7V3%2B2vHMM8VVX0%3D&from=3218412987,2025-11-04 17:44:15,2025-11-05,热搜,抖音
10,2026年法定节假日安排公布,9025804,https://www.douyin.com/search/2026%E5%B9%B4%E6%B3%95%E5%AE%9A%E8%8A%82%E5%81%87%E6%97%A5%E5%AE%89%E6%8E%92%E5%85%AC%E5%B8%83,https://p3-sign.douyinpic.com/tos-cn-p-0015/oQmfZJ8EbBIFC42pAvBI9vqFIf8CFNANADHBgg~noop.jpeg?lk3s=bfd515bb&x-expires=1762293600&x-signature=9w7cF9ahcLM7ck%2FwOrOe0PeCm4I%3D&from=3218412987,2025-11-04 17:01:22,2025-11-05,热搜,抖音
