index,title,desc,author,language,stars,forks,today_forks,url,type,datetime
1,Graphite,"2D vector & raster editor that melds traditional layers & tools with a modern node-based, non-destructive, procedural workflow.",Keavon,Rust,"15,548",689,"1,162 stars today",https://github.com//GraphiteEditor/Graphite,GitHub_Rust_daily,2025-07-01 02:40:29
2,twenty,"Building a modern alternative to Salesforce, powered by the community.",charlesBochet,TypeScript,"32,138","3,578","1,244 stars today",https://github.com//twentyhq/twenty,GitHub_TypeScript_daily,2025-07-01 02:40:29
3,all-in-one,📦 The official Nextcloud installation method. Provides easy deployment and maintenance with most features included in this one Nextcloud instance.,szaimen,PHP,"7,161",798,48 stars today,https://github.com//nextcloud/all-in-one,GitHub_PHP_daily,2025-07-01 02:40:29
4,midday,"Invoicing, Time tracking, File reconciliation, Storage, Financial Overview & your own Assistant made for Freelancers",pontusab,TypeScript,"8,386",811,91 stars today,https://github.com//midday-ai/midday,GitHub_TypeScript_daily,2025-07-01 02:40:29
5,wallet-gen,,wKich-octra,HTML,392,"7,575",123 stars today,https://github.com//octra-labs/wallet-gen,GitHub_HTML_daily,2025-07-01 02:40:29
6,actual,A local-first personal finance app,MatissJanis,TypeScript,"19,560","1,579",24 stars today,https://github.com//actualbudget/actual,GitHub_TypeScript_daily,2025-07-01 02:40:29
7,generative-ai-for-beginners,"21 Lessons, Get Started Building with Generative AI 🔗 https://microsoft.github.io/generative-ai-for-beginners/",koreyspace,Jupyter Notebook,"86,991","45,671",414 stars today,https://github.com//microsoft/generative-ai-for-beginners,GitHub_Jupyter Notebook_daily,2025-07-01 02:40:29
8,firecrawl,"🔥 Turn entire websites into LLM-ready markdown or structured data. Scrape, crawl and extract with a single API.",nickscamara,TypeScript,"41,288","3,891",330 stars today,https://github.com//mendableai/firecrawl,GitHub_TypeScript_daily,2025-07-01 02:40:29
9,PayloadsAllTheThings,A list of useful payloads and bypass for Web Application Security and Pentest/CTF,swisskyrepo,Python,"66,709","15,516",240 stars today,https://github.com//swisskyrepo/PayloadsAllTheThings,GitHub_Python_daily,2025-07-01 02:40:29
10,storm,An LLM-powered knowledge curation system that researches a topic and generates a full-length report with citations.,shaoyijia,Python,"25,544","2,310",615 stars today,https://github.com//stanford-oval/storm,GitHub_Python_daily,2025-07-01 02:40:29
11,go-whatsapp-web-multidevice,"API for Whatsapp Web Multi Device Version, Support UI, Webhook & MCP",aldinokemal,Go,"1,129",424,89 stars today,https://github.com//aldinokemal/go-whatsapp-web-multidevice,GitHub_Go_daily,2025-07-01 02:40:29
12,gemini-balance,Gemini polling proxy service （gemini轮询代理服务）,snailyp,Python,"1,942",344,35 stars today,https://github.com//snailyp/gemini-balance,GitHub_Python_daily,2025-07-01 02:40:29
