index,title,desc,author,language,stars,forks,today_forks,url,type,datetime
1,OpenBB,"Investment Research for Everyone, Everywhere.",jmaslek,Python,"37,990","3,432",150 stars today,https://github.com//OpenBB-finance/OpenBB,GitHub_Python_daily,2025-03-22 02:30:40
2,AFFiNE,"There can be more than Notion and Miro. AFFiNE(pronounced [ə‘fain]) is a next-gen knowledge base that brings planning, sorting and creating all together. Privacy first, open-source, customizable and ready to use.",himself65,TypeScript,"48,459","3,178",468 stars today,https://github.com//toeverything/AFFiNE,GitHub_TypeScript_daily,2025-03-22 02:30:40
3,clash-verge-rev,"A modern GUI client based on Tauri, designed to run in Windows, macOS and Linux for tailored proxy experience",zzzgydi,TypeScript,"51,645","4,042",179 stars today,https://github.com//clash-verge-rev/clash-verge-rev,GitHub_TypeScript_daily,2025-03-22 02:30:40
4,Deep-Live-Cam,real time face swap and one-click video deepfake with only a single image,hacksider,Python,"44,886","6,731",34 stars today,https://github.com//hacksider/Deep-Live-Cam,GitHub_Python_daily,2025-03-22 02:30:40
5,tech-interview-handbook,💯 Curated coding interview preparation materials for busy software engineers,yangshun,TypeScript,"124,189","15,183",505 stars today,https://github.com//yangshun/tech-interview-handbook,GitHub_TypeScript_daily,2025-03-22 02:30:40
6,zapret-discord-youtube,,Flowseal,Batchfile,"11,141",688,83 stars today,https://github.com//Flowseal/zapret-discord-youtube,GitHub_Batchfile_daily,2025-03-22 02:30:40
7,markitdown,Python tool for converting files and office documents to Markdown.,afourney,Python,"40,809","1,926",206 stars today,https://github.com//microsoft/markitdown,GitHub_Python_daily,2025-03-22 02:30:40
8,fragments,Open-source Next.js template for building apps that are fully generated by AI. By E2B.,mishushakov,TypeScript,"4,854",642,103 stars today,https://github.com//e2b-dev/fragments,GitHub_TypeScript_daily,2025-03-22 02:30:40
9,awesome-selfhost-docker,"🚀 Curated list of open-source, self-hosted projects deployable with Docker and docker-compose. Your go-to resource for amazing self-hostable software.",hotheadhacker,HTML,"1,912",68,608 stars today,https://github.com//hotheadhacker/awesome-selfhost-docker,GitHub_HTML_daily,2025-03-22 02:30:40
1,glance,A self-hosted dashboard that puts all your feeds in one place,svilenmarkov,Go,"19,505",692,"7,393 stars this week",https://github.com//glanceapp/glance,GitHub_Go_weekly,2025-03-22 02:30:40
2,local-deep-researcher,Fully local web research and report writing assistant,rlancemartin,Python,"5,948",581,"3,100 stars this week",https://github.com//langchain-ai/local-deep-researcher,GitHub_Python_weekly,2025-03-22 02:30:40
3,ai-engineering-hub,"In-depth tutorials on LLMs, RAGs and real-world AI agent applications.",patchy631,Jupyter Notebook,"6,351","1,116","1,652 stars this week",https://github.com//patchy631/ai-engineering-hub,GitHub_Jupyter Notebook_weekly,2025-03-22 02:30:40
