index,title,desc,author,language,stars,forks,today_forks,url,type,datetime
1,data-formulator,🪄 Create rich visualizations with AI,Chenglong-MS,TypeScript,"5,636",420,794 stars today,https://github.com//microsoft/data-formulator,GitHub_TypeScript_daily,2025-02-14 02:28:51
2,goose,"an open source, extensible AI agent that goes beyond code suggestions - install, execute, edit, and test with any LLM",angiejones,Rust,"7,505",483,367 stars today,https://github.com//block/goose,GitHub_Rust_daily,2025-02-14 02:28:51
3,FastGPT,"FastGPT is a knowledge-based platform built on the LLMs, offers a comprehensive suite of out-of-the-box capabilities such as data processing, RAG retrieval, and visual AI workflow orchestration, letting you easily develop and deploy complex question-answering systems without the need for extensive setup or configuration.",c121914yu,TypeScript,"20,863","5,395",257 stars today,https://github.com//labring/FastGPT,GitHub_TypeScript_daily,2025-02-14 02:28:51
4,nocodb,🔥 🔥 🔥 Open Source Airtable Alternative,pranavxc,TypeScript,"51,518","3,563",27 stars today,https://github.com//nocodb/nocodb,GitHub_TypeScript_daily,2025-02-14 02:28:51
5,cypress,"Fast, easy and reliable testing for anything that runs in a browser.",brian-mann,JavaScript,"47,881","3,234",15 stars today,https://github.com//cypress-io/cypress,GitHub_JavaScript_daily,2025-02-14 02:28:51
6,build-your-own-x,Master programming by recreating your favorite technologies from scratch.,danistefanovic,Markdown,"333,095","30,843",843 stars today,https://github.com//codecrafters-io/build-your-own-x,GitHub_Markdown_daily,2025-02-14 02:28:51
7,5d-diplomacy-with-multiverse-time-travel,5D Diplomacy With Multiverse Time Travel,Oliveriver,C#,603,57,154 stars today,https://github.com//Oliveriver/5d-diplomacy-with-multiverse-time-travel,GitHub_C#_daily,2025-02-14 02:28:51
8,hyperswitch,"An open source payments switch written in Rust to make payments fast, reliable and affordable",hyperswitch-bot,Rust,"13,599","1,416",202 stars today,https://github.com//juspay/hyperswitch,GitHub_Rust_daily,2025-02-14 02:28:51
9,llm-cookbook,面向开发者的 LLM 入门教程，吴恩达大模型系列课程中文版,logan-zou,Jupyter Notebook,"14,425","1,820",372 stars today,https://github.com//datawhalechina/llm-cookbook,GitHub_Jupyter Notebook_daily,2025-02-14 02:28:51
10,kong,🦍 The Cloud-Native API Gateway and AI Gateway.,thibaultcha,Lua,"40,013","4,853",38 stars today,https://github.com//Kong/kong,GitHub_Lua_daily,2025-02-14 02:28:51
11,text-behind-image,https://textbehindimage.rexanwong.xyz - create text behind image designs easily,RexanWONG,TypeScript,"1,537",277,15 stars today,https://github.com//RexanWONG/text-behind-image,GitHub_TypeScript_daily,2025-02-14 02:28:51
12,vision-agent,Vision agent,AsiaCao,Python,"2,589",298,311 stars today,https://github.com//landing-ai/vision-agent,GitHub_Python_daily,2025-02-14 02:28:51
13,potpie,Prompt-To-Agent : Create custom engineering agents for your codebase,dhirenmathur,Python,"2,116",191,109 stars today,https://github.com//potpie-ai/potpie,GitHub_Python_daily,2025-02-14 02:28:51
14,netdata,"Architected for speed. Automated for easy. Monitoring and troubleshooting, transformed!",ktsaou,C,"73,330","6,005",66 stars today,https://github.com//netdata/netdata,GitHub_C_daily,2025-02-14 02:28:51
15,ant-design,An enterprise-class UI design language and React UI library,afc163,TypeScript,"93,516","51,112",38 stars today,https://github.com//ant-design/ant-design,GitHub_TypeScript_daily,2025-02-14 02:28:51
16,openzeppelin-contracts,OpenZeppelin Contracts is a library for secure smart contract development.,frangio,Solidity,"25,358","11,943",11 stars today,https://github.com//OpenZeppelin/openzeppelin-contracts,GitHub_Solidity_daily,2025-02-14 02:28:51
1,unsloth,"Finetune Llama 3.3, DeepSeek-R1 & Reasoning LLMs 2x faster with 70% less memory! 🦥",danielhanchen,Python,"28,800","1,902","5,005 stars this week",https://github.com//unslothai/unsloth,GitHub_Python_weekly,2025-02-14 02:28:51
2,dify,"Dify is an open-source LLM app development platform. Dify's intuitive interface combines AI workflow, RAG pipeline, agent capabilities, model management, observability features and more, letting you quickly go from prototype to production.",takatost,TypeScript,"66,703","9,755","4,505 stars this week",https://github.com//langgenius/dify,GitHub_TypeScript_weekly,2025-02-14 02:28:51
3,openpi,,uzhilinsky,Python,"1,991",140,"1,157 stars this week",https://github.com//Physical-Intelligence/openpi,GitHub_Python_weekly,2025-02-14 02:28:51
4,anything-llm,"The all-in-one Desktop & Docker AI application with built-in RAG, AI agents, and more.",timothycarambat,JavaScript,"36,373","3,515","3,310 stars this week",https://github.com//Mintplex-Labs/anything-llm,GitHub_JavaScript_weekly,2025-02-14 02:28:51
5,ragflow,RAGFlow is an open-source RAG (Retrieval-Augmented Generation) engine based on deep document understanding.,KevinHuSh,Python,"35,557","3,186","3,785 stars this week",https://github.com//infiniflow/ragflow,GitHub_Python_weekly,2025-02-14 02:28:51
