index,title,desc,author,language,stars,forks,today_forks,url,type,datetime
1,pydoll,"Pydoll is a library for automating chromium-based browsers without a WebDriver, offering realistic interactions. It supports Python's asynchronous features, enhancing performance and enabling event capturing and simultaneous web scraping.",thalissonvs,Python,906,65,136 stars today,https://github.com//thalissonvs/pydoll,GitHub_Python_daily,2025-03-11 02:28:38
2,SpacetimeDB,Multiplayer at the speed of light,Centril,Rust,"8,348",229,956 stars today,https://github.com//clockworklabs/SpacetimeDB,GitHub_Rust_daily,2025-03-11 02:28:38
3,camel,🐫 CAMEL: Finding the Scaling Law of Agents. The first and the best multi-agent framework. https://www.camel-ai.org,Wendong-Fan,Python,"8,427",898,659 stars today,https://github.com//camel-ai/camel,GitHub_Python_daily,2025-03-11 02:28:38
4,browser-use,Make websites accessible for AI agents,MagMueller,Python,"39,143","4,021","1,356 stars today",https://github.com//browser-use/browser-use,GitHub_Python_daily,2025-03-11 02:28:38
5,AutoGPT,"AutoGPT is the vision of accessible AI for everyone, to use and to build on. Our mission is to provide the tools, so that you can focus on what matters.",Auto-GPT-Bot,Python,"173,029","45,286",244 stars today,https://github.com//Significant-Gravitas/AutoGPT,GitHub_Python_daily,2025-03-11 02:28:38
6,ai-hedge-fund,An AI Hedge Fund Team,virattt,Python,"15,866","2,749",718 stars today,https://github.com//virattt/ai-hedge-fund,GitHub_Python_daily,2025-03-11 02:28:38
7,firecrawl,"🔥 Turn entire websites into LLM-ready markdown or structured data. Scrape, crawl and extract with a single API.",nickscamara,TypeScript,"30,043","2,542",427 stars today,https://github.com//mendableai/firecrawl,GitHub_TypeScript_daily,2025-03-11 02:28:38
8,build-your-own-x,Master programming by recreating your favorite technologies from scratch.,danistefanovic,Markdown,"352,365","32,673","1,206 stars today",https://github.com//codecrafters-io/build-your-own-x,GitHub_Markdown_daily,2025-03-11 02:28:38
9,developer-roadmap,"Interactive roadmaps, guides and other educational content to help developers grow in their careers.",kamranahmedse,TypeScript,"310,486","40,491",349 stars today,https://github.com//kamranahmedse/developer-roadmap,GitHub_TypeScript_daily,2025-03-11 02:28:38
10,public-apis,A collective list of free APIs,matheusfelipeog,Python,"330,349","34,979",665 stars today,https://github.com//public-apis/public-apis,GitHub_Python_daily,2025-03-11 02:28:38
11,freeCodeCamp,freeCodeCamp.org's open-source codebase and curriculum. Learn to code for free.,ojeytonwilliams,TypeScript,"411,169","39,151",123 stars today,https://github.com//freeCodeCamp/freeCodeCamp,GitHub_TypeScript_daily,2025-03-11 02:28:38
12,n8n,"Fair-code workflow automation platform with native AI capabilities. Combine visual building with custom code, self-host or cloud, 400+ integrations.",janober,TypeScript,"65,860","16,232",335 stars today,https://github.com//n8n-io/n8n,GitHub_TypeScript_daily,2025-03-11 02:28:38
13,free-programming-books,📚 Freely available programming books,vhf,HTML,"352,229","62,961",189 stars today,https://github.com//EbookFoundation/free-programming-books,GitHub_HTML_daily,2025-03-11 02:28:38
14,presenterm,A markdown terminal slideshow tool,mfontanini,Rust,"3,713",76,572 stars today,https://github.com//mfontanini/presenterm,GitHub_Rust_daily,2025-03-11 02:28:38
15,awesome-mcp-servers,A collection of MCP servers.,punkpeye,,"6,630",442,760 stars today,https://github.com//punkpeye/awesome-mcp-servers,GitHub__daily,2025-03-11 02:28:38
1,ai-hedge-fund,An AI Hedge Fund Team,virattt,Python,"15,866","2,749","6,158 stars this week",https://github.com//virattt/ai-hedge-fund,GitHub_Python_weekly,2025-03-11 02:28:38
2,UnleashedRecomp,An unofficial PC port of the Xbox 360 version of Sonic Unleashed created through the process of static recompilation.,hyperbx,C++,"3,370",145,"1,616 stars this week",https://github.com//hedge-dev/UnleashedRecomp,GitHub_C++_weekly,2025-03-11 02:28:38
3,ladybird,Truly independent web browser,awesomekling,C++,"35,270","1,471","4,656 stars this week",https://github.com//LadybirdBrowser/ladybird,GitHub_C++_weekly,2025-03-11 02:28:38
4,MetaGPT,"🌟 The Multi-Agent Framework: First AI Software Company, Towards Natural Language Programming",geekan,Python,"51,393","6,062","2,289 stars this week",https://github.com//geekan/MetaGPT,GitHub_Python_weekly,2025-03-11 02:28:38
5,ai-engineering-hub,,patchy631,Jupyter Notebook,"4,277",827,"1,204 stars this week",https://github.com//patchy631/ai-engineering-hub,GitHub_Jupyter Notebook_weekly,2025-03-11 02:28:38
6,hoppscotch,"Open source API development ecosystem - https://hoppscotch.io (open-source alternative to Postman, Insomnia)",liyasthomas,TypeScript,"69,685","4,766","1,093 stars this week",https://github.com//hoppscotch/hoppscotch,GitHub_TypeScript_weekly,2025-03-11 02:28:38
7,dagger,An open-source runtime for composable workflows. Great for AI agents and CI/CD.,aluzzardi,Go,"12,755",673,423 stars this week,https://github.com//dagger/dagger,GitHub_Go_weekly,2025-03-11 02:28:38
8,composio,Composio equip's your AI agents & LLMs with 100+ high-quality integrations via function calling,utkarsh-dixit,Python,"23,861","4,341","8,874 stars this week",https://github.com//ComposioHQ/composio,GitHub_Python_weekly,2025-03-11 02:28:38
9,storm,An LLM-powered knowledge curation system that researches a topic and generates a full-length report with citations.,shaoyijia,Python,"23,199","2,013","1,016 stars this week",https://github.com//stanford-oval/storm,GitHub_Python_weekly,2025-03-11 02:28:38
10,olmocr,Toolkit for linearizing PDFs for LLM datasets/training,jakep-allenai,Python,"9,250",600,"3,668 stars this week",https://github.com//allenai/olmocr,GitHub_Python_weekly,2025-03-11 02:28:38
11,mem0,The Memory layer for AI Agents,Dev-Khant,Python,"25,451","2,398",288 stars this week,https://github.com//mem0ai/mem0,GitHub_Python_weekly,2025-03-11 02:28:38
12,PowerToys,Windows system utilities to maximize productivity,crutkas,C#,"116,021","6,836",854 stars this week,https://github.com//microsoft/PowerToys,GitHub_C#_weekly,2025-03-11 02:28:38
13,build-your-own-x,Master programming by recreating your favorite technologies from scratch.,danistefanovic,Markdown,"352,365","32,673","6,269 stars this week",https://github.com//codecrafters-io/build-your-own-x,GitHub_Markdown_weekly,2025-03-11 02:28:38
14,camel,🐫 CAMEL: Finding the Scaling Law of Agents. The first and the best multi-agent framework. https://www.camel-ai.org,Wendong-Fan,Python,"8,427",898,"1,268 stars this week",https://github.com//camel-ai/camel,GitHub_Python_weekly,2025-03-11 02:28:38
15,uBlock,uBlock Origin - An efficient blocker for Chromium and Firefox. Fast and lean.,gorhill,JavaScript,"51,264","3,362","1,150 stars this week",https://github.com//gorhill/uBlock,GitHub_JavaScript_weekly,2025-03-11 02:28:38
