index,title,desc,author,language,stars,forks,today_forks,url,type,datetime
1,ragflow,RAGFlow is an open-source RAG (Retrieval-Augmented Generation) engine based on deep document understanding.,KevinHuSh,Python,"32,791","3,007",618 stars today,https://github.com//infiniflow/ragflow,GitHub_Python_daily,2025-02-09 02:25:25
2,terminal,"The new Windows Terminal and the original Windows console host, all in the same place!",DHowett,C++,"96,742","8,437",38 stars today,https://github.com//microsoft/terminal,GitHub_C++_daily,2025-02-09 02:25:25
3,chatbox,"User-friendly Desktop Client App for AI Models/LLMs (GPT, Claude, Gemini, Ollama...)",Bin-Huang,TypeScript,"28,743","2,765",358 stars today,https://github.com//Bin-Huang/chatbox,GitHub_TypeScript_daily,2025-02-09 02:25:25
4,unsloth,"Finetune Llama 3.3, DeepSeek-R1 & Reasoning LLMs 2x faster with 70% less memory",danielhanchen,Python,"24,354","1,668",479 stars today,https://github.com//unslothai/unsloth,GitHub_Python_daily,2025-02-09 02:25:25
5,anything-llm,"The all-in-one Desktop & Docker AI application with built-in RAG, AI agents, and more.",timothycarambat,JavaScript,"34,568","3,393",616 stars today,https://github.com//Mintplex-Labs/anything-llm,GitHub_JavaScript_daily,2025-02-09 02:25:25
6,dify,"Dify is an open-source LLM app development platform. Dify's intuitive interface combines AI workflow, RAG pipeline, agent capabilities, model management, observability features and more, letting you quickly go from prototype to production.",takatost,TypeScript,"63,296","9,386",418 stars today,https://github.com//langgenius/dify,GitHub_TypeScript_daily,2025-02-09 02:25:25
7,lobe-chat,"🤯 Lobe Chat - an open-source, modern-design AI chat framework. Supports Multi AI Providers( OpenAI / Claude 3 / Gemini / Ollama / Qwen / DeepSeek), Knowledge Base (file upload / knowledge management / RAG ), Multi-Modals (Vision/TTS/Plugins/Artifacts). One-click FREE deployment of your private ChatGPT/ Claude application.",semantic-release-bot,TypeScript,"54,171","11,663",172 stars today,https://github.com//lobehub/lobe-chat,GitHub_TypeScript_daily,2025-02-09 02:25:25
8,minimind,🚀🚀 「大模型」50分钟完全从0训练26M的小参数GPT！🌏 Train a 26M-parameter GPT from scratch in just 50 min!,jingyaogong,Python,"8,044",817,157 stars today,https://github.com//jingyaogong/minimind,GitHub_Python_daily,2025-02-09 02:25:25
9,sglang,SGLang is a fast serving framework for large language models and vision language models.,merrymercy,Python,"8,972",868,198 stars today,https://github.com//sgl-project/sglang,GitHub_Python_daily,2025-02-09 02:25:25
10,sherpa-onnx,"Speech-to-text, text-to-speech, speaker diarization, and VAD using next-gen Kaldi with onnxruntime without Internet connection. Support embedded systems, Android, iOS, HarmonyOS, Raspberry Pi, RISC-V, x86_64 servers, websocket server/client, C/C++, Python, Kotlin, C#, Go, NodeJS, Java, Swift, Dart, JavaScript, Flutter, Object Pascal, Lazarus, Rust",csukuangfj,C++,"4,627",528,18 stars today,https://github.com//k2-fsa/sherpa-onnx,GitHub_C++_daily,2025-02-09 02:25:25
